,SEID,EpisodeNo,Season,SentimentTotal,LineCountTotal,WordCountTotal,SentimentJerry,LineCountJerry,WordCountJerry,SentimentGeorge,LineCountGeorge,WordCountGeorge,SentimentKramer,LineCountKramer,WordCountKramer,SentimentElaine,LineCountElaine,WordCountElaine,SentimentMainChars,LineCountMainChars,WordCountMainChars,SentimentSecondary,LineCountSecondary,WordCountSecondary,SentimentOther,LineCountOther,WordCountOther
33,S03E18,18,3,0.175529479,229,2439,0.336140799,53,576,0.218317541,44,610,0.232077778,32,279,0.0758625,34,264,0.238038288,163,1729,-0.061564062,8,64,0.031715635,58,646
34,S03E19,19,3,0.021282201,271,2753,0.10381877,68,618,0.00353159,84,937,-0.041481421,30,366,0.018039412,31,170,0.02647231,213,2091,,,,0.004888671,58,662
35,S03E20,20,3,0.056980611,308,2914,0.04011856,107,1083,0.162551186,58,506,0.010410687,28,262,0.070158077,77,749,0.069605885,270,2600,,,,-0.047559873,38,314
36,S03E21,21,3,0.150534769,303,3296,0.092979616,65,834,0.098756217,55,571,0.223609571,32,303,0.077308419,54,487,0.109037677,206,2195,,,,0.233265123,97,1101
37,S03E22,22,3,0.091193843,397,3703,0.097793836,85,584,0.094262717,96,1038,0.039902386,58,461,0.148075979,63,766,0.100659003,302,2849,0.019692,10,50,0.062100373,85,804
38,S03E23,23,3,0.024979805,295,3080,-0.075284,84,750,0.064890963,62,509,0.205947612,56,649,0.141954373,33,263,0.067968908,235,2171,-0.177089157,10,83,-0.067704964,50,826
39,S04E01,1,4,0.217141638,289,2930,0.226481509,62,530,0.229450671,79,969,0.417077376,38,442,,,,0.271365842,179,1941,,,,0.11072184,110,989
40,S04E02,2,4,0.057513379,266,2459,-0.034961518,90,751,0.063531014,83,661,0.124109302,34,430,,,,0.037516232,207,1842,,,,0.117213128,59,617
41,S04E03,3,4,0.167119951,360,3283,0.164759195,151,1392,0.139812154,100,938,0.138426648,38,364,0.16392,3,10,0.152557359,292,2704,0.241324427,25,262,0.230008517,43,317
42,S04E04,4,4,0.113758878,351,3244,0.160462288,110,944,0.145392908,81,705,0.040690087,60,343,0.197311111,3,18,0.13506801,254,2010,0.066025433,53,751,0.099300207,44,483
43,S04E05,5,4,0.116992345,362,3488,0.063424666,91,823,0.071347536,36,345,0.12633913,36,414,0.091549872,45,391,0.083585302,208,1973,0.1043956,110,1091,0.304858255,44,424
44,S04E06,6,4,0.054858214,345,3549,-0.107641591,72,880,0.245148396,51,748,0.294224444,47,495,0.258023333,29,240,0.125354676,199,2363,-0.04066803,74,538,-0.122904167,72,648
