,SEID,EpisodeNo,Season,SentimentTotal,LineCountTotal,WordCountTotal,SentimentJerry,LineCountJerry,WordCountJerry,SentimentGeorge,LineCountGeorge,WordCountGeorge,SentimentKramer,LineCountKramer,WordCountKramer,SentimentElaine,LineCountElaine,WordCountElaine,SentimentMainChars,LineCountMainChars,WordCountMainChars,SentimentSecondary,LineCountSecondary,WordCountSecondary,SentimentOther,LineCountOther,WordCountOther
142,S08E13,13,8,0.082115925,286,2945,0.127664474,61,608,0.143012274,35,497,0.132505505,46,545,-0.039529644,64,506,0.093186735,206,2156,,,,0.051864132,80,789
143,S08E14,14,8,0.154500766,301,3525,0.268665498,51,542,0.153935209,54,693,0.169350565,49,797,0.038386965,42,491,0.160964804,196,2523,0.211812658,11,79,0.131926111,94,923
144,S08E15,15,8,0.098177456,295,2932,0.003316807,70,476,0.141854096,54,586,0.14303364,59,761,-0.012804908,55,489,0.08100878,238,2312,,,,0.1622,57,620
145,S08E16,16,8,0.168841532,297,2728,0.1872753,91,834,0.239919904,34,417,0.351504887,42,532,0.039441045,62,536,0.200248038,229,2319,-0.021096429,4,28,-0.008359055,64,381
146,S08E17,17,8,0.09994688,387,3189,0.069192768,103,719,0.170771198,42,434,0.037130905,45,398,-0.020748936,41,376,0.067898703,231,1927,0.168141154,26,260,0.143885329,130,1002
147,S08E18,18,8,0.011935101,281,2715,0.023092214,58,411,0.069881465,44,437,-0.046190582,39,361,0.10961858,54,479,0.044941706,195,1688,,,,-0.042315287,86,1027
148,S08E19,19,8,0.137134525,294,2798,0.12448367,80,643,0.102309963,32,271,0.136277143,39,350,0.246435878,36,524,0.159171365,187,1788,,,,0.098122772,107,1010
149,S08E20,20,8,0.051351984,305,3049,0.089632833,90,600,-0.099662663,37,383,0.198006838,55,702,-0.120803597,30,278,0.061653744,212,1963,0.153417895,13,190,0.007138951,80,896
150,S08E21,21,8,0.109447255,287,3005,0.072823529,56,493,0.095728352,40,455,0.145238626,62,655,0.107113,38,400,0.108554618,196,2003,0.116339474,3,38,0.11103029,88,964
151,S08E22,22,8,0.067811362,328,2746,0.124577234,100,593,0.055361092,59,586,0.101252083,49,480,-0.08701506,35,332,0.063298795,243,1991,,,,0.079711391,85,755
152,S09E01,1,9,0.05059076,312,2738,-0.077482902,89,696,0.163751629,64,614,0.128099768,45,431,-0.015996117,30,309,0.047260293,228,2050,0.011947222,31,252,0.088585321,53,436
153,S09E02,2,9,0.130478131,372,3178,0.150532828,117,990,0.18464322,54,472,0.003991246,54,594,0.216314286,52,413,0.132801823,277,2469,0.160275,13,92,0.116736629,82,617
154,S09E03,3,9,0.158670162,307,3080,0.065862581,77,620,0.238279847,58,655,0.119467713,36,446,0.298591193,52,545,0.182225463,223,2266,0.03658246,41,439,0.159257333,43,375
155,S09E04,4,9,0.07939952,303,2918,-0.002401192,89,671,0.267651807,44,498,0.112242406,53,665,0.030584472,42,483,0.095422054,228,2317,-0.026867347,18,147,0.032036123,57,454
156,S09E05,5,9,0.124039543,321,3108,0.076981422,77,689,0.038511434,57,516,0.057700464,59,646,0.31632,23,220,0.086806857,216,2071,0.278249698,48,497,0.124903333,57,540
157,S09E06,6,9,0.124347713,298,3257,0.08764448,68,625,0.155362105,49,475,0.18720045,58,889,0.146106653,47,481,0.147883927,222,2470,-0.111038372,12,86,0.070294579,64,701
158,S09E07,7,9,0.025825803,344,3267,0.004585251,81,617,-0.044294657,75,861,0.178259862,81,872,-0.017591702,61,470,0.039668759,298,2820,,,,-0.061505593,46,447
159,S09E08,8,9,0.082180619,438,3942,0.069448851,100,827,0.109708005,67,787,0.242596954,51,591,0.006645332,79,814,0.096905763,297,3019,0.204265789,15,114,0.010026205,126,809
160,S09E09,9,9,0.086857159,318,3471,0.030929568,67,602,0.156713215,62,734,0.19074027,41,519,0.177179707,45,547,0.137201749,215,2402,0.012643523,22,193,-0.034837443,81,876
161,S09E10,10,9,0.110947365,365,3454,0.097557935,71,523,0.161651734,66,692,0.209462378,51,614,0.023636851,54,578,0.12677931,242,2407,-0.039385676,30,370,0.136819941,93,677
162,S09E11,11,9,0.075402055,352,3941,0.071090113,71,799,-0.011121021,76,1313,0.170427135,37,527,0.174469497,40,318,0.063407339,224,2957,0.111855882,37,340,0.111231366,91,644
163,S09E12,12,9,0.178807851,332,2917,0.07765412,84,619,0.134537136,45,412,0.243530806,58,633,0.282690185,57,540,0.186163748,244,2204,0.109052716,36,313,0.19286025,52,400
164,S09E13,13,9,0.178734681,275,3117,-0.072123934,89,844,0.046930343,47,379,0.267331742,32,419,0.320483587,52,658,0.121654,220,2300,0.59765,2,34,0.328214176,53,783
165,S09E14,14,9,0.01379519,338,3555,-0.056494505,102,1001,0.030873994,60,696,0.101479021,40,572,0.122470242,68,662,0.035502764,270,2931,,,,-0.088167788,68,624
166,S09E15,15,9,0.086928169,341,3014,0.123716639,65,607,-0.013366206,58,651,0.254786775,38,431,0.081354622,65,476,0.099275982,226,2165,0.112005362,41,373,0.011115546,74,476
167,S09E16,16,9,0.021662568,287,2773,-0.026891846,67,650,0.027382479,56,702,0.348892233,30,309,0.053623355,44,304,0.064046819,197,1965,-0.036034167,21,120,-0.089327907,69,688
168,S09E17,17,9,0.050767079,301,3074,-0.0521059,76,678,0.025761808,36,343,0.241622756,37,479,0.060135194,36,412,0.059634676,185,1912,0.097149688,36,320,0.013003088,80,842
169,S09E18,18,9,0.085209714,299,2697,0.111629534,72,579,0.123638846,54,520,-0.058960684,33,351,0.04203653,41,438,0.067077595,200,1888,,,,0.127525464,99,809
170,S09E19,19,9,0.056641423,364,2740,0.06453021,105,619,0.055882067,45,329,0.095593896,56,557,0.018076821,58,453,0.061166496,264,1958,,,,0.045311381,100,782
171,S09E20,20,9,0.072542852,316,2784,0.011879316,75,585,0.038387991,49,433,0.12403696,57,717,0.086721158,48,449,0.069342353,229,2184,,,,0.084192667,87,600
172,S09E23,23,9,0.035248511,713,6986,0.071567091,151,1334,-0.022854667,126,975,0.170964477,38,411,0.140492479,75,585,0.068272829,390,3305,0.01713093,45,527,0.003670387,278,3154
