# ----------------------------------------
# Cage Code Site Data
# Audience Overview
# 20160401-20180407
# ----------------------------------------

Day Index,Users
4/6/17,"1,228"
4/7/17,828
4/8/17,114
4/9/17,162
4/10/17,"1,186"
4/11/17,"1,251"
4/12/17,"1,284"
4/13/17,"1,070"
4/14/17,577
4/15/17,91
4/16/17,112
4/17/17,"1,033"
4/18/17,"1,259"
4/19/17,"1,279"
4/20/17,"1,286"
4/21/17,860
4/22/17,89
4/23/17,163
4/24/17,"1,203"
4/25/17,"1,285"
4/26/17,"1,272"
4/27/17,"1,246"
4/28/17,913
4/29/17,129
4/30/17,106
5/1/17,"1,046"
5/2/17,"1,236"
5/3/17,"1,293"
5/4/17,"1,207"
5/5/17,851
5/6/17,102
5/7/17,167
5/8/17,"1,266"
5/9/17,"1,296"
5/10/17,"1,326"
5/11/17,"1,230"
5/12/17,894
5/13/17,103
5/14/17,123
5/15/17,"1,199"
5/16/17,"1,237"
5/17/17,"1,192"
5/18/17,"1,172"
5/19/17,849
5/20/17,84
5/21/17,163
5/22/17,"1,074"
5/23/17,"1,190"
5/24/17,"1,183"
5/25/17,"1,044"
5/26/17,749
5/27/17,64
5/28/17,140
5/29/17,329
5/30/17,"1,108"
5/31/17,"1,161"
6/1/17,"1,132"
6/2/17,684
6/3/17,93
6/4/17,145
6/5/17,965
6/6/17,"1,183"
6/7/17,"1,136"
6/8/17,"1,036"
6/9/17,827
6/10/17,77
6/11/17,144
6/12/17,"1,084"
6/13/17,"1,164"
6/14/17,"1,149"
6/15/17,"1,101"
6/16/17,732
6/17/17,94
6/18/17,150
6/19/17,"1,101"
6/20/17,"1,157"
6/21/17,982
6/22/17,959
6/23/17,613
6/24/17,70
6/25/17,132
6/26/17,"1,067"
6/27/17,879
6/28/17,"1,042"
6/29/17,939
6/30/17,660
7/1/17,63
7/2/17,107
7/3/17,545
7/4/17,359
7/5/17,990
7/6/17,"1,122"
7/7/17,798
7/8/17,87
7/9/17,158
7/10/17,"1,088"
7/11/17,"1,259"
7/12/17,"1,139"
7/13/17,"1,113"
7/14/17,714
7/15/17,106
7/16/17,154
7/17/17,"1,122"
7/18/17,"1,108"
7/19/17,"1,189"
7/20/17,"1,102"
7/21/17,784
7/22/17,80
7/23/17,164
7/24/17,"1,061"
7/25/17,"1,143"
7/26/17,"1,269"
7/27/17,"1,192"
7/28/17,733
7/29/17,111
7/30/17,159
7/31/17,"1,050"
8/1/17,"1,095"
8/2/17,"1,164"
8/3/17,"1,084"
8/4/17,812
8/5/17,82
8/6/17,144
8/7/17,"1,053"
8/8/17,"1,135"
8/9/17,"1,166"
8/10/17,"1,095"
8/11/17,796
8/12/17,103
8/13/17,155
8/14/17,975
8/15/17,"1,054"
8/16/17,"1,134"
8/17/17,"1,096"
8/18/17,795
8/19/17,78
8/20/17,154
8/21/17,950
8/22/17,"1,117"
8/23/17,"1,110"
8/24/17,"1,070"
8/25/17,744
8/26/17,94
8/27/17,167
8/28/17,"1,039"
8/29/17,"1,179"
8/30/17,"1,178"
8/31/17,"1,050"
9/1/17,759
9/2/17,86
9/3/17,112
9/4/17,313
9/5/17,"1,046"
9/6/17,"1,160"
9/7/17,"1,005"
9/8/17,742
9/9/17,100
9/10/17,159
9/11/17,967
9/12/17,"1,097"
9/13/17,"1,132"
9/14/17,"1,198"
9/15/17,845
9/16/17,95
9/17/17,140
9/18/17,"1,053"
9/19/17,"1,135"
9/20/17,"1,093"
9/21/17,"1,066"
9/22/17,789
9/23/17,102
9/24/17,146
9/25/17,"1,063"
9/26/17,"1,172"
9/27/17,"1,187"
9/28/17,"1,129"
9/29/17,858
9/30/17,87
10/1/17,121
10/2/17,976
10/3/17,"1,109"
