# ----------------------------------------
# Cage Code Site Data
# Engagement
# 20160401-20180407
# ----------------------------------------

Session Duration,Sessions,Pageviews
0-10 seconds,"228,913","334,021"
11-30 seconds,"147,839","341,874"
31-60 seconds,"66,480","214,748"
61-180 seconds,"74,213","316,440"
181-600 seconds,"58,070","328,199"
601-1800 seconds,"53,046","370,186"
1801+ seconds,"22,305","422,027"
,"650,866","2,327,495"
