# ----------------------------------------
# Cage Code Site Data
# Acquisition Overview
# 20160401-20180407
# ----------------------------------------

Default Channel Grouping,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Organic Search,"215,103","209,078","430,689",16.15%,3.70,00:04:01,0.00%,0,$0.00
Direct,"58,719","56,226","213,140",26.27%,3.33,00:04:48,0.00%,0,$0.00
Referral,"3,273","2,835","6,068",28.03%,3.38,00:03:32,0.00%,0,$0.00
Social,836,805,951,10.20%,2.03,00:01:36,0.00%,0,$0.00
(Other),13,14,17,52.94%,2.59,00:03:08,0.00%,0,$0.00
,"277,944","268,958","650,865",19.57%,3.58,00:04:16,0.00%,0,$0.00
