# ----------------------------------------,,,,,,,,,
# Cage Code Site Data,,,,,,,,,
# Interests: Affinity Categories (reach),,,,,,,,,
# 20160401-20180407,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Affinity Category (reach),Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Lifestyles & Hobbies/Thrill Seekers,"15,421","13,039","31,829",17.23%,3.63,0:04:02,0.00%,0,$0.00 
Media & Entertainment/Music Lovers/Rock Music Fans,"15,064","12,747","35,795",19.47%,3.48,0:04:52,0.00%,0,$0.00 
Lifestyles & Hobbies/Nightlife Enthusiasts,"14,439","12,003","28,796",18.22%,3.61,0:03:57,0.00%,0,$0.00 
Travel/Travel Buffs/Luxury Travelers,"14,309","11,873","26,483",18.05%,3.75,0:03:57,0.00%,0,$0.00 
Vehicles & Transportation/Auto Enthusiasts/Truck & SUV Enthusiasts,"14,131","11,843","28,091",17.01%,3.49,0:04:00,0.00%,0,$0.00 
Media & Entertainment/TV Lovers/TV Drama Fans,"13,417","11,297","27,434",19.60%,3.48,0:04:08,0.00%,0,$0.00 
Media & Entertainment/Music Lovers/Rap & Hip Hop Fans,"12,267","10,453","28,694",22.25%,3.47,0:05:17,0.00%,0,$0.00 
Media & Entertainment/TV Lovers/TV Comedy Fans,"11,767","10,051","24,870",18.01%,3.49,0:04:23,0.00%,0,$0.00 
Vehicles & Transportation/Auto Enthusiasts/Motorcycle Enthusiasts,"9,923","7,930","21,152",18.71%,3.84,0:04:41,0.00%,0,$0.00 
Sports & Fitness/Sports Fans/Fight & Wrestling Fans,"9,742","8,132","20,934",19.64%,3.43,0:04:05,0.00%,0,$0.00 
Lifestyles & Hobbies/Pet Lovers/Dog Lovers,"9,621","8,110","19,034",18.81%,3.61,0:04:17,0.00%,0,$0.00 
Travel/Travel Buffs/Family Vacationers,"9,617","7,832","17,698",18.90%,3.78,0:03:59,0.00%,0,$0.00 
Media & Entertainment/Movie Lovers/Sci-Fi & Fantasy Movie Fans,"9,365","7,895","17,729",17.62%,3.63,0:04:16,0.00%,0,$0.00 
Media & Entertainment/Movie Lovers/Action & Adventure Movie Fans,"9,361","7,863","18,033",17.97%,3.37,0:04:01,0.00%,0,$0.00 
Media & Entertainment/Gamers/Casual & Social Gamers,"9,049","7,583","17,789",20.12%,3.48,0:03:54,0.00%,0,$0.00 
Sports & Fitness/Sports Fans/Golf Enthusiasts,"8,903","7,408","17,522",15.59%,3.72,0:04:17,0.00%,0,$0.00 
Media & Entertainment/Music Lovers/World Music Fans,"7,998","6,737","19,787",22.18%,3.59,0:05:14,0.00%,0,$0.00 
Sports & Fitness/Sports Fans/Hockey Fans,"7,332","6,214","16,525",17.40%,3.49,0:03:57,0.00%,0,$0.00 
News & Politics/News Junkies/World News Junkies,"7,255","6,371","15,149",15.89%,3.7,0:04:20,0.00%,0,$0.00 
Sports & Fitness/Sports Fans/Boating & Sailing Enthusiasts,"7,107","5,660","15,347",18.06%,3.68,0:04:36,0.00%,0,$0.00 
Media & Entertainment/Music Lovers/Indie & Alternative Rock Fans,"7,100","5,923","16,371",19.38%,3.62,0:04:30,0.00%,0,$0.00 
Media & Entertainment/Music Lovers/Country Music Fans,"6,885","5,686","15,380",20.63%,3.52,0:04:46,0.00%,0,$0.00 
Media & Entertainment/Music Lovers/Electronica & Dance Music Fans,"6,739","5,640","16,436",21.06%,3.49,0:05:36,0.00%,0,$0.00 
Sports & Fitness/Sports Fans/Motor Sports Enthusiasts,"6,341","5,232","12,997",15.36%,3.61,0:03:44,0.00%,0,$0.00 
Travel/Travel Buffs/Snowbound Travelers,"6,272","5,181","11,650",18.76%,3.51,0:03:50,0.00%,0,$0.00 
Media & Entertainment/Movie Lovers/Comedy Movie Fans,"5,417","4,428","9,724",17.67%,3.35,0:03:37,0.00%,0,$0.00 
Media & Entertainment/Gamers/Shooter Game Fans,"5,390","4,595","11,252",23.42%,3.33,0:04:02,0.00%,0,$0.00 
Media & Entertainment/Gamers/Roleplaying Game Fans,"5,246","4,478","10,920",19.89%,3.46,0:04:31,0.00%,0,$0.00 
Sports & Fitness/Sports Fans/Cycling Enthusiasts,"4,886","3,969","9,265",18.13%,3.58,0:03:59,0.00%,0,$0.00 
Sports & Fitness/Sports Fans/Tennis Enthusiasts,"4,650","3,765","9,623",17.23%,3.89,0:04:26,0.00%,0,$0.00 
Media & Entertainment/TV Lovers/Sci-Fi & Fantasy TV Fans,"4,557","3,818","8,156",16.23%,3.98,0:04:30,0.00%,0,$0.00 
Sports & Fitness/Sports Fans/Racquetball Enthusiasts,"4,535","3,660","9,262",17.49%,3.9,0:04:23,0.00%,0,$0.00 
Sports & Fitness/Sports Fans/Running Enthusiasts,"4,491","3,613","8,240",19.28%,3.76,0:04:03,0.00%,0,$0.00 
Sports & Fitness/Sports Fans/Winter Sports Enthusiasts,"4,332","3,545","8,603",17.13%,3.68,0:04:13,0.00%,0,$0.00 
Media & Entertainment/Music Lovers/Metalheads,"4,077","3,266","10,992",21.18%,3.27,0:04:59,0.00%,0,$0.00 
Media & Entertainment/Movie Lovers/Romance & Drama Movie Fans,"3,896","3,191","6,942",17.46%,3.47,0:03:44,0.00%,0,$0.00 
Media & Entertainment/Movie Lovers/Family Movie Fans,"3,636","2,980","6,410",18.95%,3.5,0:04:27,0.00%,0,$0.00 
Sports & Fitness/Sports Fans/Water Sports Enthusiasts,"3,546","2,772","7,315",16.57%,3.7,0:04:45,0.00%,0,$0.00 
Media & Entertainment/Gamers/Adventure & Strategy Game Fans,"3,544","3,001","7,027",22.39%,3.26,0:03:55,0.00%,0,$0.00 
Media & Entertainment/Movie Lovers/South Asian Film Fans,"3,333","2,818","7,242",22.48%,3.5,0:04:13,0.00%,0,$0.00 
Media & Entertainment/Music Lovers/Spanish-Language Music Fans,"3,249","2,650","7,905",21.85%,3.29,0:04:44,0.00%,0,$0.00 
Media & Entertainment/Music Lovers/Classical Music Enthusiasts,"3,005","2,457","6,611",21.31%,3.41,0:04:38,0.00%,0,$0.00 
Media & Entertainment/Music Lovers/Folk & Traditional Music Enthusiasts,"2,698","2,155","6,149",18.15%,3.86,0:05:08,0.00%,0,$0.00 
Lifestyles & Hobbies/Pet Lovers/Cat Lovers,"2,684","2,205","5,078",15.75%,3.87,0:04:31,0.00%,0,$0.00 
Sports & Fitness/Sports Fans/Skiing Enthusiasts,"2,509","2,068","4,522",14.99%,3.61,0:03:47,0.00%,0,$0.00 
Media & Entertainment/Gamers/Action Game Fans,"2,397","2,012","4,930",20.83%,3.3,0:04:31,0.00%,0,$0.00 
Sports & Fitness/Sports Fans/Cricket Enthusiasts,"2,099","1,799","4,352",22.43%,3.54,0:04:20,0.00%,0,$0.00 
Media & Entertainment/Music Lovers/Jazz Enthusiasts,"2,080","1,703","4,589",18.28%,3.95,0:05:04,0.00%,0,$0.00 
Media & Entertainment/Movie Lovers/Horror Movie Fans,"2,073","1,680","3,630",18.62%,3.3,0:03:58,0.00%,0,$0.00 
Sports & Fitness/Sports Fans/Rugby Enthusiasts,"1,490","1,208","3,139",17.23%,3.62,0:03:33,0.00%,0,$0.00 
