# ----------------------------------------,,,,,,,,,
# Cage Code Site Data,,,,,,,,,
# Interests: Affinity Categories (reach),,,,,,,,,
# 20160401-20180407,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Affinity Category (reach),Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
4/1/2017,53,,,,,,,,
4/2/2017,97,,,,,,,,
4/3/2017,672,,,,,,,,
4/4/2017,761,,,,,,,,
4/5/2017,729,,,,,,,,
4/6/2017,720,,,,,,,,
4/7/2017,509,,,,,,,,
4/8/2017,55,,,,,,,,
4/9/2017,97,,,,,,,,
4/10/2017,665,,,,,,,,
4/11/2017,667,,,,,,,,
4/12/2017,712,,,,,,,,
4/13/2017,648,,,,,,,,
4/14/2017,321,,,,,,,,
4/15/2017,60,,,,,,,,
4/16/2017,61,,,,,,,,
4/17/2017,502,,,,,,,,
4/18/2017,699,,,,,,,,
4/19/2017,729,,,,,,,,
4/20/2017,805,,,,,,,,
4/21/2017,539,,,,,,,,
4/22/2017,53,,,,,,,,
4/23/2017,106,,,,,,,,
4/24/2017,774,,,,,,,,
4/25/2017,768,,,,,,,,
4/26/2017,752,,,,,,,,
4/27/2017,771,,,,,,,,
4/28/2017,598,,,,,,,,
4/29/2017,86,,,,,,,,
4/30/2017,67,,,,,,,,
5/1/2017,639,,,,,,,,
5/2/2017,778,,,,,,,,
5/3/2017,775,,,,,,,,
5/4/2017,712,,,,,,,,
5/5/2017,523,,,,,,,,
5/6/2017,65,,,,,,,,
5/7/2017,98,,,,,,,,
5/8/2017,796,,,,,,,,
5/9/2017,827,,,,,,,,
5/10/2017,775,,,,,,,,
5/11/2017,745,,,,,,,,
5/12/2017,573,,,,,,,,
5/13/2017,60,,,,,,,,
5/14/2017,76,,,,,,,,
5/15/2017,742,,,,,,,,
5/16/2017,766,,,,,,,,
5/17/2017,707,,,,,,,,
5/18/2017,693,,,,,,,,
5/19/2017,554,,,,,,,,
5/20/2017,51,,,,,,,,
5/21/2017,95,,,,,,,,
5/22/2017,710,,,,,,,,
5/23/2017,761,,,,,,,,
5/24/2017,770,,,,,,,,
5/25/2017,637,,,,,,,,
5/26/2017,484,,,,,,,,
5/27/2017,39,,,,,,,,
5/28/2017,85,,,,,,,,
5/29/2017,211,,,,,,,,
5/30/2017,733,,,,,,,,
5/31/2017,664,,,,,,,,
6/1/2017,724,,,,,,,,
6/2/2017,423,,,,,,,,
6/3/2017,60,,,,,,,,
6/4/2017,93,,,,,,,,
6/5/2017,588,,,,,,,,
6/6/2017,714,,,,,,,,
6/7/2017,663,,,,,,,,
6/8/2017,628,,,,,,,,
6/9/2017,514,,,,,,,,
6/10/2017,52,,,,,,,,
6/11/2017,87,,,,,,,,
6/12/2017,676,,,,,,,,
6/13/2017,727,,,,,,,,
6/14/2017,690,,,,,,,,
6/15/2017,663,,,,,,,,
6/16/2017,427,,,,,,,,
6/17/2017,70,,,,,,,,
6/18/2017,103,,,,,,,,
6/19/2017,697,,,,,,,,
6/20/2017,718,,,,,,,,
6/21/2017,620,,,,,,,,
6/22/2017,577,,,,,,,,
6/23/2017,395,,,,,,,,
6/24/2017,50,,,,,,,,
6/25/2017,82,,,,,,,,
6/26/2017,678,,,,,,,,
6/27/2017,535,,,,,,,,
6/28/2017,650,,,,,,,,
6/29/2017,568,,,,,,,,
6/30/2017,402,,,,,,,,
7/1/2017,37,,,,,,,,
7/2/2017,57,,,,,,,,
7/3/2017,322,,,,,,,,
7/4/2017,204,,,,,,,,
7/5/2017,592,,,,,,,,
7/6/2017,669,,,,,,,,
7/7/2017,470,,,,,,,,
7/8/2017,30,,,,,,,,
7/9/2017,87,,,,,,,,
7/10/2017,629,,,,,,,,
7/11/2017,569,,,,,,,,
7/12/2017,611,,,,,,,,
7/13/2017,540,,,,,,,,
7/14/2017,339,,,,,,,,
7/15/2017,40,,,,,,,,
7/16/2017,63,,,,,,,,
7/17/2017,530,,,,,,,,
7/18/2017,506,,,,,,,,
7/19/2017,543,,,,,,,,
7/20/2017,464,,,,,,,,
7/21/2017,359,,,,,,,,
7/22/2017,31,,,,,,,,
7/23/2017,57,,,,,,,,
7/24/2017,478,,,,,,,,
7/25/2017,480,,,,,,,,
7/26/2017,481,,,,,,,,
7/27/2017,476,,,,,,,,
7/28/2017,281,,,,,,,,
7/29/2017,42,,,,,,,,
7/30/2017,63,,,,,,,,
7/31/2017,407,,,,,,,,
8/1/2017,432,,,,,,,,
8/2/2017,675,,,,,,,,
8/3/2017,647,,,,,,,,
8/4/2017,484,,,,,,,,
8/5/2017,40,,,,,,,,
8/6/2017,91,,,,,,,,
8/7/2017,626,,,,,,,,
8/8/2017,675,,,,,,,,
8/9/2017,686,,,,,,,,
8/10/2017,639,,,,,,,,
8/11/2017,493,,,,,,,,
8/12/2017,56,,,,,,,,
8/13/2017,90,,,,,,,,
8/14/2017,582,,,,,,,,
8/15/2017,635,,,,,,,,
8/16/2017,607,,,,,,,,
8/17/2017,639,,,,,,,,
8/18/2017,459,,,,,,,,
8/19/2017,38,,,,,,,,
8/20/2017,84,,,,,,,,
8/21/2017,578,,,,,,,,
8/22/2017,647,,,,,,,,
8/23/2017,634,,,,,,,,
8/24/2017,638,,,,,,,,
8/25/2017,455,,,,,,,,
8/26/2017,44,,,,,,,,
8/27/2017,95,,,,,,,,
8/28/2017,637,,,,,,,,
8/29/2017,691,,,,,,,,
8/30/2017,688,,,,,,,,
8/31/2017,562,,,,,,,,
9/1/2017,414,,,,,,,,
9/2/2017,48,,,,,,,,
9/3/2017,65,,,,,,,,
9/4/2017,154,,,,,,,,
9/5/2017,514,,,,,,,,
9/6/2017,553,,,,,,,,
9/7/2017,440,,,,,,,,
9/8/2017,329,,,,,,,,
9/9/2017,42,,,,,,,,
9/10/2017,65,,,,,,,,
9/11/2017,493,,,,,,,,
9/12/2017,553,,,,,,,,
9/13/2017,568,,,,,,,,
9/14/2017,604,,,,,,,,
9/15/2017,414,,,,,,,,
9/16/2017,37,,,,,,,,
9/17/2017,69,,,,,,,,
9/18/2017,575,,,,,,,,
9/19/2017,599,,,,,,,,
9/20/2017,562,,,,,,,,
9/21/2017,521,,,,,,,,
9/22/2017,423,,,,,,,,
9/23/2017,53,,,,,,,,
9/24/2017,74,,,,,,,,
9/25/2017,536,,,,,,,,
9/26/2017,622,,,,,,,,
9/27/2017,646,,,,,,,,
9/28/2017,608,,,,,,,,
9/29/2017,472,,,,,,,,
9/30/2017,53,,,,,,,,
10/1/2017,72,,,,,,,,
10/2/2017,524,,,,,,,,
10/3/2017,599,,,,,,,,
10/4/2017,569,,,,,,,,
10/5/2017,526,,,,,,,,
10/6/2017,350,,,,,,,,
10/7/2017,56,,,,,,,,
10/8/2017,85,,,,,,,,
10/9/2017,480,,,,,,,,
10/10/2017,568,,,,,,,,
10/11/2017,539,,,,,,,,
10/12/2017,544,,,,,,,,
10/13/2017,414,,,,,,,,
10/14/2017,48,,,,,,,,
10/15/2017,72,,,,,,,,
10/16/2017,664,,,,,,,,
10/17/2017,618,,,,,,,,
10/18/2017,565,,,,,,,,
10/19/2017,544,,,,,,,,
10/20/2017,373,,,,,,,,
10/21/2017,38,,,,,,,,
10/22/2017,99,,,,,,,,
10/23/2017,587,,,,,,,,
10/24/2017,629,,,,,,,,
10/25/2017,612,,,,,,,,
10/26/2017,560,,,,,,,,
10/27/2017,424,,,,,,,,
10/28/2017,55,,,,,,,,
10/29/2017,102,,,,,,,,
10/30/2017,588,,,,,,,,
10/31/2017,564,,,,,,,,
11/1/2017,579,,,,,,,,
11/2/2017,545,,,,,,,,
11/3/2017,415,,,,,,,,
11/4/2017,51,,,,,,,,
11/5/2017,86,,,,,,,,
11/6/2017,590,,,,,,,,
11/7/2017,633,,,,,,,,
11/8/2017,625,,,,,,,,
11/9/2017,513,,,,,,,,
11/10/2017,390,,,,,,,,
11/11/2017,43,,,,,,,,
11/12/2017,97,,,,,,,,
11/13/2017,561,,,,,,,,
11/14/2017,561,,,,,,,,
11/15/2017,585,,,,,,,,
11/16/2017,600,,,,,,,,
11/17/2017,398,,,,,,,,
11/18/2017,56,,,,,,,,
11/19/2017,82,,,,,,,,
11/20/2017,579,,,,,,,,
11/21/2017,566,,,,,,,,
11/22/2017,450,,,,,,,,
11/23/2017,149,,,,,,,,
11/24/2017,129,,,,,,,,
11/25/2017,47,,,,,,,,
11/26/2017,69,,,,,,,,
11/27/2017,506,,,,,,,,
11/28/2017,608,,,,,,,,
11/29/2017,571,,,,,,,,
11/30/2017,548,,,,,,,,
12/1/2017,382,,,,,,,,
12/2/2017,39,,,,,,,,
12/3/2017,106,,,,,,,,
12/4/2017,524,,,,,,,,
12/5/2017,556,,,,,,,,
12/6/2017,628,,,,,,,,
12/7/2017,578,,,,,,,,
12/8/2017,374,,,,,,,,
12/9/2017,39,,,,,,,,
12/10/2017,90,,,,,,,,
12/11/2017,544,,,,,,,,
12/12/2017,523,,,,,,,,
12/13/2017,590,,,,,,,,
12/14/2017,502,,,,,,,,
12/15/2017,342,,,,,,,,
12/16/2017,34,,,,,,,,
12/17/2017,81,,,,,,,,
12/18/2017,502,,,,,,,,
12/19/2017,536,,,,,,,,
12/20/2017,502,,,,,,,,
12/21/2017,433,,,,,,,,
12/22/2017,217,,,,,,,,
12/23/2017,20,,,,,,,,
12/24/2017,39,,,,,,,,
12/25/2017,67,,,,,,,,
12/26/2017,213,,,,,,,,
12/27/2017,237,,,,,,,,
12/28/2017,266,,,,,,,,
12/29/2017,176,,,,,,,,
12/30/2017,23,,,,,,,,
12/31/2017,14,,,,,,,,
1/1/2018,61,,,,,,,,
1/2/2018,451,,,,,,,,
1/3/2018,574,,,,,,,,
1/4/2018,488,,,,,,,,
1/5/2018,385,,,,,,,,
1/6/2018,31,,,,,,,,
1/7/2018,80,,,,,,,,
1/8/2018,588,,,,,,,,
1/9/2018,705,,,,,,,,
1/10/2018,620,,,,,,,,
1/11/2018,590,,,,,,,,
1/12/2018,403,,,,,,,,
1/13/2018,40,,,,,,,,
1/14/2018,98,,,,,,,,
1/15/2018,552,,,,,,,,
1/16/2018,592,,,,,,,,
1/17/2018,596,,,,,,,,
1/18/2018,586,,,,,,,,
1/19/2018,457,,,,,,,,
1/20/2018,51,,,,,,,,
1/21/2018,73,,,,,,,,
1/22/2018,609,,,,,,,,
1/23/2018,680,,,,,,,,
1/24/2018,616,,,,,,,,
1/25/2018,603,,,,,,,,
1/26/2018,437,,,,,,,,
1/27/2018,59,,,,,,,,
1/28/2018,121,,,,,,,,
1/29/2018,618,,,,,,,,
1/30/2018,697,,,,,,,,
1/31/2018,651,,,,,,,,
2/1/2018,615,,,,,,,,
2/2/2018,492,,,,,,,,
2/3/2018,80,,,,,,,,
2/4/2018,116,,,,,,,,
2/5/2018,586,,,,,,,,
2/6/2018,688,,,,,,,,
2/7/2018,648,,,,,,,,
2/8/2018,626,,,,,,,,
2/9/2018,441,,,,,,,,
2/10/2018,82,,,,,,,,
2/11/2018,94,,,,,,,,
2/12/2018,686,,,,,,,,
2/13/2018,669,,,,,,,,
2/14/2018,621,,,,,,,,
2/15/2018,620,,,,,,,,
2/16/2018,454,,,,,,,,
2/17/2018,69,,,,,,,,
2/18/2018,99,,,,,,,,
2/19/2018,472,,,,,,,,
2/20/2018,656,,,,,,,,
2/21/2018,677,,,,,,,,
2/22/2018,638,,,,,,,,
2/23/2018,436,,,,,,,,
2/24/2018,60,,,,,,,,
2/25/2018,100,,,,,,,,
2/26/2018,592,,,,,,,,
2/27/2018,691,,,,,,,,
2/28/2018,607,,,,,,,,
3/1/2018,616,,,,,,,,
3/2/2018,471,,,,,,,,
3/3/2018,61,,,,,,,,
3/4/2018,107,,,,,,,,
3/5/2018,583,,,,,,,,
3/6/2018,664,,,,,,,,
3/7/2018,650,,,,,,,,
3/8/2018,588,,,,,,,,
3/9/2018,389,,,,,,,,
3/10/2018,48,,,,,,,,
3/11/2018,89,,,,,,,,
3/12/2018,581,,,,,,,,
3/13/2018,690,,,,,,,,
3/14/2018,645,,,,,,,,
3/15/2018,571,,,,,,,,
3/16/2018,467,,,,,,,,
3/17/2018,46,,,,,,,,
3/18/2018,87,,,,,,,,
3/19/2018,607,,,,,,,,
3/20/2018,596,,,,,,,,
3/21/2018,647,,,,,,,,
3/22/2018,659,,,,,,,,
3/23/2018,494,,,,,,,,
3/24/2018,63,,,,,,,,
3/25/2018,98,,,,,,,,
3/26/2018,694,,,,,,,,
3/27/2018,712,,,,,,,,
3/28/2018,656,,,,,,,,
3/29/2018,624,,,,,,,,
3/30/2018,308,,,,,,,,
3/31/2018,38,,,,,,,,
4/1/2018,64,,,,,,,,
4/2/2018,511,,,,,,,,
4/3/2018,658,,,,,,,,
4/4/2018,633,,,,,,,,
4/5/2018,564,,,,,,,,
4/6/2018,406,,,,,,,,
4/7/2018,72,,,,,,,,
,"283,970",,,,,,,,
