# ----------------------------------------
# Cage Code Site Data
# Site Search Usage
# 20160401-20180407
# ----------------------------------------

Site Search Status,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Visits Without Site Search,"392,050",38.98%,"152,836",26.93%,2.92,00:03:15,0.00%,0,$0.00
Visits With Site Search,"258,816",45.24%,"117,084",8.27%,4.57,00:05:53,0.00%,0,$0.00
,"650,866",41.47%,"269,920",19.51%,3.58,00:04:18,0.00%,0,$0.00

Day Index,Sessions
1/25/17,"1,222"
1/26/17,"1,119"
1/27/17,833
1/28/17,97
1/29/17,137
1/30/17,"1,192"
1/31/17,"1,261"
2/1/17,"1,266"
2/2/17,"1,223"
2/3/17,996
2/4/17,119
2/5/17,183
2/6/17,"1,313"
2/7/17,"1,428"
2/8/17,"1,493"
2/9/17,"1,397"
2/10/17,"1,167"
2/11/17,147
2/12/17,207
2/13/17,"1,368"
2/14/17,"1,416"
2/15/17,"1,522"
2/16/17,"1,481"
2/17/17,"1,042"
2/18/17,125
2/19/17,202
2/20/17,"1,175"
2/21/17,"1,482"
2/22/17,"1,522"
2/23/17,"1,384"
2/24/17,"1,032"
2/25/17,201
2/26/17,182
2/27/17,"1,407"
2/28/17,"1,317"
3/1/17,"1,472"
3/2/17,"1,349"
3/3/17,"1,026"
3/4/17,120
3/5/17,220
3/6/17,"1,443"
3/7/17,"1,495"
3/8/17,"1,585"
3/9/17,"1,477"
3/10/17,997
3/11/17,147
3/12/17,173
3/13/17,"1,480"
3/14/17,"1,430"
3/15/17,"1,480"
3/16/17,"1,479"
3/17/17,"1,065"
3/18/17,118
3/19/17,200
3/20/17,"1,438"
3/21/17,"1,588"
3/22/17,"1,624"
3/23/17,"1,468"
3/24/17,"1,113"
3/25/17,140
3/26/17,212
3/27/17,"1,588"
3/28/17,"1,550"
3/29/17,"1,637"
3/30/17,"1,474"
3/31/17,"1,168"
4/1/17,123
4/2/17,189
4/3/17,"1,456"
4/4/17,"1,612"
4/5/17,"1,618"
4/6/17,"1,562"
4/7/17,"1,026"
4/8/17,131
4/9/17,187
4/10/17,"1,501"
4/11/17,"1,560"
4/12/17,"1,626"
4/13/17,"1,336"
4/14/17,721
4/15/17,113
4/16/17,139
4/17/17,"1,302"
4/18/17,"1,597"
4/19/17,"1,597"
4/20/17,"1,606"
4/21/17,"1,044"
4/22/17,106
4/23/17,195
4/24/17,"1,444"
4/25/17,"1,597"
4/26/17,"1,547"
4/27/17,"1,553"
4/28/17,"1,096"
4/29/17,172
4/30/17,134
5/1/17,"1,280"
5/2/17,"1,512"
5/3/17,"1,582"
5/4/17,"1,503"
5/5/17,"1,050"
5/6/17,137
5/7/17,195
5/8/17,"1,517"
5/9/17,"1,579"
5/10/17,"1,650"
5/11/17,"1,521"
5/12/17,"1,062"
5/13/17,127
5/14/17,161
5/15/17,"1,516"
5/16/17,"1,542"
5/17/17,"1,494"
5/18/17,"1,452"
5/19/17,"1,052"
5/20/17,94
5/21/17,198
5/22/17,"1,356"
5/23/17,"1,485"
5/24/17,"1,460"
5/25/17,"1,300"
5/26/17,911
5/27/17,74
5/28/17,171
5/29/17,430
5/30/17,"1,345"
5/31/17,"1,465"
6/1/17,"1,410"
6/2/17,850
6/3/17,129
6/4/17,184
6/5/17,"1,213"
6/6/17,"1,441"
6/7/17,"1,382"
6/8/17,"1,284"
6/9/17,"1,016"
6/10/17,94
6/11/17,166
6/12/17,"1,320"
6/13/17,"1,403"
6/14/17,"1,459"
6/15/17,"1,308"
6/16/17,897
6/17/17,108
6/18/17,183
6/19/17,"1,319"
6/20/17,"1,435"
6/21/17,"1,207"
6/22/17,"1,141"
6/23/17,713
6/24/17,85
6/25/17,174
6/26/17,"1,283"
6/27/17,"1,046"
6/28/17,"1,251"
6/29/17,"1,093"
6/30/17,789
7/1/17,87
7/2/17,137
7/3/17,639
7/4/17,436
7/5/17,"1,196"
7/6/17,"1,379"
7/7/17,950
7/8/17,108
7/9/17,191
7/10/17,"1,306"
7/11/17,"1,509"
7/12/17,"1,399"
7/13/17,"1,368"
7/14/17,882
7/15/17,149
7/16/17,176
7/17/17,"1,347"
7/18/17,"1,350"
7/19/17,"1,435"
7/20/17,"1,353"
7/21/17,938
7/22/17,94
7/23/17,194
7/24/17,"1,328"
7/25/17,"1,402"
7/26/17,"1,494"
7/27/17,"1,436"
7/28/17,900
7/29/17,142
7/30/17,184
7/31/17,"1,298"
8/1/17,"1,350"
8/2/17,"1,402"
8/3/17,"1,321"
8/4/17,955
8/5/17,100
8/6/17,170
8/7/17,"1,263"
8/8/17,"1,371"
8/9/17,"1,411"
