# ----------------------------------------,,,,,,,,,
# Cage Code Site Data,,,,,,,,,
# Interests: Other Categories,,,,,,,,,
# 20160401-20180407,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Other Category,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Shopping/Apparel/Women's Clothing,"1,374","1,152","2,352",17.13%,4.06,0:03:27,0.00%,0,$0.00 
Hobbies & Leisure/Special Occasions/Weddings,"1,366","1,092","2,414",19.30%,3.64,0:04:06,0.00%,0,$0.00 
Reference/General Reference/Public Records,"1,366",988,"2,831",19.32%,3.61,0:05:28,0.00%,0,$0.00 
Travel/Cruises & Charters,"1,359","1,072","2,457",18.84%,3.65,0:05:01,0.00%,0,$0.00 
Reference/Geographic Reference/Maps/Traffic & Public Transit,"1,353","1,035","2,872",15.25%,3.49,0:03:32,0.00%,0,$0.00 
Sports/Individual Sports/Running & Walking,"1,343","1,074","2,275",24.09%,3.2,0:02:47,0.00%,0,$0.00 
Arts & Entertainment/Movies/Action & Adventure Films/Superhero Films,"1,322","1,105","2,188",16.45%,3.4,0:03:08,0.00%,0,$0.00 
Home & Garden/Home Storage & Shelving,"1,309","1,045","2,228",15.22%,3.34,0:03:32,0.00%,0,$0.00 
Games/Computer & Video Games/Massively Multiplayer Games,"1,299","1,118","2,479",24.36%,3.25,0:04:08,0.00%,0,$0.00 
Computers & Electronics/Software/Multimedia Software/Desktop Publishing/Fonts,"1,275","1,065","2,012",18.24%,4.4,0:03:59,0.00%,0,$0.00 
Home & Garden/Home Improvement,"1,275","1,020","2,206",18.09%,4,0:04:15,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Codes & Driving Laws/Vehicle Licensing & Registration,"1,268",965,"2,300",17.43%,3.46,0:03:44,0.00%,0,$0.00 
Computers & Electronics/Software/Operating Systems/Mac OS,"1,260","1,080","1,937",23.28%,3.08,0:02:57,0.00%,0,$0.00 
Beauty & Fitness/Face & Body Care/Make-Up & Cosmetics,"1,251","1,003","2,517",20.22%,4.29,0:05:06,0.00%,0,$0.00 
Beauty & Fitness/Face & Body Care/Skin & Nail Care,"1,250",982,"2,211",20.94%,3.34,0:03:18,0.00%,0,$0.00 
Finance/Accounting & Auditing,"1,242","1,009","1,897",19.61%,3.69,0:03:32,0.00%,0,$0.00 
Shopping/Apparel/Footwear,"1,236",986,"2,189",17.68%,3.91,0:04:17,0.00%,0,$0.00 
Shopping/Gifts & Special Event Items/Gifts,"1,233",956,"2,241",20.97%,3.6,0:04:36,0.00%,0,$0.00 
Home & Garden/Home Improvement/Doors & Windows,"1,230",935,"2,331",17.46%,3.97,0:07:42,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Chevrolet,"1,220",988,"2,201",15.04%,3.67,0:04:23,0.00%,0,$0.00 
Internet & Telecom/Web Services/Cloud Storage,"1,219",958,"2,311",16.75%,4.17,0:05:07,0.00%,0,$0.00 
Beauty & Fitness/Fitness/Bodybuilding,"1,215",993,"2,385",20.46%,3.24,0:03:59,0.00%,0,$0.00 
Law & Government/Legal/Labor & Employment Law,"1,212",976,"1,926",17.96%,3.81,0:04:32,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Desserts,"1,207",979,"1,872",21.79%,3.25,0:02:46,0.00%,0,$0.00 
Business & Industrial/Business Services/Office Supplies/Office Furniture,"1,176",958,"1,885",16.82%,3.39,0:03:12,0.00%,0,$0.00 
Internet & Telecom/Communications Equipment/Radio Equipment,"1,172",919,"2,444",24.92%,3.36,0:04:02,0.00%,0,$0.00 
"Online Communities/Online Goodies/Skins, Themes & Wallpapers","1,172",904,"2,178",19.70%,3.72,0:03:58,0.00%,0,$0.00 
Books & Literature/Writers Resources,"1,164",945,"2,097",17.55%,4.12,0:04:53,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Audio Equipment/Headphones,"1,152",913,"2,159",19.22%,3.57,0:03:30,0.00%,0,$0.00 
Law & Government/Public Safety/Security Products & Services,"1,148",839,"2,812",28.52%,3.21,0:04:04,0.00%,0,$0.00 
Computers & Electronics/Software/Multimedia Software/Photo & Video Software/Photo Software,"1,143",952,"2,129",22.26%,3.46,0:04:32,0.00%,0,$0.00 
Jobs & Education/Education/Standardized & Admissions Tests,"1,126",858,"2,291",22.09%,4.33,0:06:25,0.00%,0,$0.00 
Business & Industrial/Transportation & Logistics/Maritime Transport,"1,123",920,"2,198",22.20%,3.92,0:04:33,0.00%,0,$0.00 
Home & Garden/Home Improvement/House Painting & Finishing,"1,119",784,"2,051",16.48%,3.52,0:03:55,0.00%,0,$0.00 
Shopping/Consumer Resources/Consumer Advocacy & Protection,"1,113",865,"1,956",16.16%,3.29,0:03:14,0.00%,0,$0.00 
Arts & Entertainment/Humor/Live Comedy,"1,089",857,"2,201",15.36%,3.87,0:07:11,0.00%,0,$0.00 
Autos & Vehicles/Classic Vehicles,"1,089",874,"2,224",14.21%,3.55,0:04:02,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware/Computer Drives & Storage/Hard Drives,"1,089",802,"2,196",18.12%,3.84,0:04:14,0.00%,0,$0.00 
Games/Puzzles & Brainteasers,"1,089",908,"2,124",15.87%,3.96,0:03:20,0.00%,0,$0.00 
Reference/General Reference/Forms Guides & Templates/Legal Forms,"1,088",886,"1,568",17.16%,3.39,0:03:38,0.00%,0,$0.00 
Computers & Electronics/Computer Security/Antivirus & Malware,"1,086",878,"2,061",22.03%,3.33,0:03:58,0.00%,0,$0.00 
Law & Government/Government/Courts & Judiciary,"1,071",869,"1,583",14.28%,3.6,0:03:50,0.00%,0,$0.00 
People & Society/Family & Relationships/Family/Baby & Pet Names,"1,062",845,"1,814",18.36%,3.6,0:04:58,0.00%,0,$0.00 
Arts & Entertainment/Visual Art & Design/Architecture,"1,061",852,"1,782",17.62%,3.28,0:03:27,0.00%,0,$0.00 
Business & Industrial/Construction & Maintenance/Civil Engineering,"1,054",750,"1,871",13.09%,4.06,0:03:52,0.00%,0,$0.00 
Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons/Android Apps,"1,053",896,"1,713",15.59%,3.1,0:02:50,0.00%,0,$0.00 
Games/Computer & Video Games/Gaming Reference & Reviews/Video Game Cheats & Hints,"1,052",710,"3,870",27.42%,3.11,0:04:20,0.00%,0,$0.00 
Shopping/Gifts & Special Event Items/Party & Holiday Supplies,"1,046",887,"1,682",18.91%,3.35,0:03:37,0.00%,0,$0.00 
News/Gossip & Tabloid News,"1,045",905,"1,733",15.12%,3.23,0:02:58,0.00%,0,$0.00 
Sports/Individual Sports/Racquet Sports/Tennis,"1,044",813,"2,044",19.03%,3.31,0:03:07,0.00%,0,$0.00 
Shopping/Apparel/Footwear/Athletic Shoes,"1,036",828,"1,940",24.43%,4.02,0:04:21,0.00%,0,$0.00 
Sports/Team Sports/Cricket,"1,036",895,"2,382",25.10%,3.56,0:05:38,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Urban & Hip-Hop/Soul & R&B,"1,033",828,"1,943",18.89%,3.32,0:03:40,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Parts & Services/Vehicle Parts & Accessories/Vehicle Fuels & Lubricants,"1,031",695,"1,898",14.49%,3.34,0:03:21,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Shopping/Vehicle Dealers & Retailers,"1,031",808,"1,828",17.29%,3.39,0:03:00,0.00%,0,$0.00 
Arts & Entertainment/Entertainment Industry/Film & TV Industry/Film & TV Awards,"1,019",785,"1,624",13.55%,3.53,0:03:41,0.00%,0,$0.00 
Beauty & Fitness/Fashion & Style,"1,007",792,"1,847",18.73%,3.98,0:04:54,0.00%,0,$0.00 
Finance/Insurance/Health Insurance,"1,005",797,"1,637",20.16%,3.37,0:03:47,0.00%,0,$0.00 
Home & Garden/Bed & Bath/Bedroom/Bedding & Bed Linens,995,801,"1,679",15.37%,3.45,0:03:36,0.00%,0,$0.00 
Finance/Investing/Commodities & Futures Trading,989,825,"1,844",20.12%,3.32,0:03:44,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Toyota,988,740,"1,862",16.27%,3.58,0:04:09,0.00%,0,$0.00 
People & Society/Social Issues & Advocacy/Charity & Philanthropy,986,822,"1,439",18.97%,3.16,0:03:04,0.00%,0,$0.00 
Home & Garden/Bed & Bath/Bathroom,985,793,"1,636",13.81%,3.73,0:03:52,0.00%,0,$0.00 
Reference/General Reference/Biographies & Quotations,981,771,"1,716",17.25%,3.33,0:03:31,0.00%,0,$0.00 
Arts & Entertainment/Movies/Comedy Films,977,759,"1,640",16.10%,4.24,0:04:15,0.00%,0,$0.00 
Sports/Combat Sports/Martial Arts/Mixed Martial Arts,976,825,"1,864",18.99%,3.17,0:03:21,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Type)/Off-Road Vehicles,973,778,"1,817",21.30%,3.38,0:03:39,0.00%,0,$0.00 
Computers & Electronics/Software/Operating Systems/Linux & Unix,972,855,"1,718",17.29%,4.1,0:05:07,0.00%,0,$0.00 
Hobbies & Leisure/Crafts/Fiber & Textile Arts,964,775,"1,889",18.10%,3.21,0:03:56,0.00%,0,$0.00 
Travel/Tourist Destinations/Theme Parks,962,767,"1,470",14.76%,3.95,0:03:16,0.00%,0,$0.00 
Games/Word Games,959,810,"1,910",21.52%,3.37,0:02:50,0.00%,0,$0.00 
Law & Government/Legal/Legal Services,952,805,"1,530",22.09%,3.99,0:04:50,0.00%,0,$0.00 
Business & Industrial/Agriculture & Forestry/Agricultural Equipment,951,725,"1,640",14.70%,3.84,0:03:43,0.00%,0,$0.00 
Jobs & Education/Jobs/Resumes & Portfolios,951,753,"1,418",20.03%,3.38,0:03:13,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware/Computer Components/Sound & Video Cards,942,732,"1,962",17.38%,3.62,0:04:03,0.00%,0,$0.00 
Computers & Electronics/Software/Operating Systems/Mobile OS/Android OS,937,767,"1,647",21.68%,3.76,0:06:20,0.00%,0,$0.00 
Food & Drink/Restaurants/Fast Food,920,702,"1,708",17.51%,3.39,0:03:35,0.00%,0,$0.00 
Food & Drink/Beverages/Coffee & Tea/Coffee,919,720,"1,566",17.05%,3.75,0:04:28,0.00%,0,$0.00 
Business & Industrial/Advertising & Marketing/Marketing,915,758,"1,605",18.44%,3.47,0:03:29,0.00%,0,$0.00 
Arts & Entertainment/Movies,911,716,"1,511",17.87%,3.64,0:04:19,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Jeep,909,718,"1,759",15.75%,3.55,0:03:55,0.00%,0,$0.00 
Home & Garden/Home Safety & Security,907,761,"1,568",18.05%,3.33,0:03:32,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Audio Equipment/Speakers,904,715,"1,701",20.81%,3.06,0:03:59,0.00%,0,$0.00 
People & Society/Social Sciences/Demographics,904,699,"1,434",17.29%,4.13,0:03:42,0.00%,0,$0.00 
People & Society/Social Sciences/Economics,896,708,"1,657",21.36%,3.52,0:04:01,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Classical Music,895,728,"1,720",21.92%,3.12,0:04:29,0.00%,0,$0.00 
Computers & Electronics/Software/Multimedia Software/Desktop Publishing,895,675,"2,132",20.12%,3.45,0:04:39,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Type)/Trucks & SUVs/SUVs & Crossovers,894,691,"1,529",15.50%,3.91,0:04:05,0.00%,0,$0.00 
Business & Industrial/Small Business/MLM & Business Opportunities,894,750,"1,596",19.55%,4.09,0:04:58,0.00%,0,$0.00 
Home & Garden/Pest Control,891,689,"1,622",17.63%,3.35,0:03:37,0.00%,0,$0.00 
Shopping/Shopping Portals & Search Engines,887,706,"1,983",20.78%,3.96,0:05:02,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/GPS & Navigation,886,668,"1,782",19.53%,5.76,0:06:29,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics,885,689,"1,370",18.69%,3.48,0:03:53,0.00%,0,$0.00 
Law & Government/Public Safety/Law Enforcement,879,707,"1,438",16.48%,3.31,0:03:37,0.00%,0,$0.00 
Science/Scientific Equipment,872,609,"1,626",17.10%,3.21,0:03:26,0.00%,0,$0.00 
Arts & Entertainment/TV & Video/Online Video/Live Video Streaming,869,732,"1,529",19.29%,3.71,0:03:53,0.00%,0,$0.00 
Sports/Combat Sports/Wrestling/Professional Wrestling,868,728,"1,760",18.69%,3.15,0:03:54,0.00%,0,$0.00 
Travel/Hotels & Accommodations/Vacation Rentals & Short-Term Stays,866,720,"1,289",17.84%,3.83,0:03:56,0.00%,0,$0.00 
Hobbies & Leisure/Radio Control & Modeling,865,654,"1,534",14.28%,3.87,0:03:44,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Honda,862,681,"1,511",15.35%,3.37,0:03:55,0.00%,0,$0.00 
Travel/Luggage & Travel Accessories,855,681,"1,473",17.18%,3.37,0:03:29,0.00%,0,$0.00 
Business & Industrial/Construction & Maintenance/Construction Consulting & Contracting,851,638,"1,695",20.53%,5.22,0:05:27,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Game Systems & Consoles/Nintendo,843,707,"1,403",22.17%,3.35,0:04:01,0.00%,0,$0.00 
Science/Engineering & Technology,843,582,"1,605",20.37%,3.66,0:04:46,0.00%,0,$0.00 
Online Communities/Feed Aggregation & Social Bookmarking,842,783,"1,478",15.56%,3.68,0:03:56,0.00%,0,$0.00 
Law & Government/Legal/Intellectual Property,835,628,"1,483",17.67%,5.67,0:05:27,0.00%,0,$0.00 
Internet & Telecom/Mobile & Wireless/Mobile & Wireless Accessories,830,659,"1,412",18.77%,3.33,0:03:47,0.00%,0,$0.00 
Computers & Electronics/Software/Operating Systems/Mobile OS/Apple iOS,825,659,"1,276",17.79%,3.54,0:04:18,0.00%,0,$0.00 
Arts & Entertainment/Comics & Animation/Cartoons,815,656,"1,435",20.49%,3.08,0:02:44,0.00%,0,$0.00 
"Autos & Vehicles/Vehicle Shopping/Vehicle Specs, Reviews & Comparisons",815,629,"1,406",19.84%,3.28,0:03:49,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Volkswagen,805,642,"1,433",16.33%,4.19,0:03:34,0.00%,0,$0.00 
News/Business News/Economy News,797,645,"1,556",18.70%,3.19,0:03:45,0.00%,0,$0.00 
Food & Drink/Food/Meat & Seafood/Fish & Seafood,789,617,"1,264",16.38%,3.57,0:02:57,0.00%,0,$0.00 
Online Communities/Dating & Personals,788,609,"3,199",31.73%,2.83,0:06:24,0.00%,0,$0.00 
Business & Industrial/Construction & Maintenance/Building Materials & Supplies/Wood & Plastics,785,617,"1,272",15.57%,3.24,0:03:17,0.00%,0,$0.00 
Games/Computer & Video Games/Casual Games,785,697,"1,276",22.81%,3.02,0:02:34,0.00%,0,$0.00 
Business & Industrial/Industrial Materials & Equipment/Fluid Handling,784,539,"1,723",19.85%,3.46,0:04:24,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/World Music/East Asian Music,783,658,"2,176",20.40%,4,0:05:58,0.00%,0,$0.00 
Beauty & Fitness/Fashion & Style/Fashion Designers & Collections,778,651,"1,315",23.35%,3.08,0:03:27,0.00%,0,$0.00 
"Computers & Electronics/Computer Hardware/Computer Peripherals/Printers, Copiers & Fax Machines/Ink & Toner",778,605,"1,493",20.36%,3.39,0:03:41,0.00%,0,$0.00 
Internet & Telecom/Communications Equipment,772,504,"2,316",25.82%,3.68,0:05:41,0.00%,0,$0.00 
Business & Industrial/Transportation & Logistics/Packaging,762,424,"2,419",22.36%,3.71,0:05:42,0.00%,0,$0.00 
Pets & Animals/Animal Products & Services/Animal Welfare,757,621,"1,450",19.86%,3.64,0:03:47,0.00%,0,$0.00 
Arts & Entertainment/Movies/Drama Films,754,587,"1,397",18.68%,3.36,0:03:48,0.00%,0,$0.00 
Arts & Entertainment/Movies/Movie Reference/Movie Reviews & Previews,752,608,"1,108",18.68%,3.39,0:02:52,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/BMW,750,600,"1,395",17.85%,3.78,0:04:20,0.00%,0,$0.00 
Science/Biological Sciences/Flora & Fauna,750,566,"1,262",21.32%,3.14,0:02:50,0.00%,0,$0.00 
Science/Mathematics/Statistics,750,571,"1,306",16.62%,3.61,0:03:54,0.00%,0,$0.00 
Pets & Animals/Pets/Cats,745,585,"1,266",15.56%,3.57,0:03:16,0.00%,0,$0.00 
Arts & Entertainment/TV & Video/TV Guides & Reference,742,626,"1,376",19.84%,3.58,0:04:31,0.00%,0,$0.00 
Internet & Telecom/Mobile & Wireless/Mobile Apps & Add-Ons,742,603,"1,396",22.64%,5.16,0:07:56,0.00%,0,$0.00 
Arts & Entertainment/Visual Art & Design/Design/Graphic Design,741,616,"1,253",21.79%,3.13,0:03:40,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Type)/Hybrid & Alternative Vehicles/Electric & Plug-In Vehicles,740,621,"1,272",22.80%,3.49,0:03:34,0.00%,0,$0.00 
Computers & Electronics/Programming/Scripting Languages,737,638,"1,147",19.18%,4.04,0:04:33,0.00%,0,$0.00 
Autos & Vehicles/Commercial Vehicles/Cargo Trucks & Trailers,736,592,"1,600",25.94%,3.24,0:03:22,0.00%,0,$0.00 
Beauty & Fitness/Fitness/Fitness Equipment & Accessories,735,579,"1,168",19.09%,3.16,0:03:39,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Music Equipment & Technology/Musical Instruments/Guitars,731,591,"1,399",17.80%,3.16,0:03:13,0.00%,0,$0.00 
Computers & Electronics/Computer Security/Network Security,729,609,"1,254",19.06%,3.95,0:05:24,0.00%,0,$0.00 
Business & Industrial/Transportation & Logistics/Rail Transport,727,577,"1,208",15.56%,3.39,0:03:20,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/TV & Video Equipment/Televisions,727,571,"1,172",16.21%,3.8,0:04:27,0.00%,0,$0.00 
Reference/Geographic Reference,724,540,"1,619",22.54%,3.77,0:04:56,0.00%,0,$0.00 
Travel/Tourist Destinations/Regional Parks & Gardens,724,560,"1,199",17.60%,3.39,0:03:29,0.00%,0,$0.00 
Home & Garden/Home Improvement/Flooring,720,562,"1,088",14.71%,3.48,0:03:28,0.00%,0,$0.00 
Shopping/Toys,720,552,"1,126",20.16%,2.89,0:02:07,0.00%,0,$0.00 
Law & Government/Government/Intelligence & Counterterrorism,718,587,"1,019",17.27%,3.4,0:03:07,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware/Desktop Computers,715,541,"1,440",17.92%,3.47,0:04:12,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware/Computer Components,714,472,"1,572",14.38%,3.42,0:04:06,0.00%,0,$0.00 
Sports/Combat Sports/Martial Arts,711,551,"1,463",16.88%,3.18,0:04:01,0.00%,0,$0.00 
Computers & Electronics/Electronics & Electrical/Electromechanical Devices,707,449,"1,538",15.28%,3.83,0:04:45,0.00%,0,$0.00 
Computers & Electronics/Software/Business & Productivity Software/Presentation Software,707,560,"1,310",20.84%,3.89,0:05:01,0.00%,0,$0.00 
Business & Industrial/Energy & Utilities/Renewable & Alternative Energy/Solar Power,703,573,"1,185",15.44%,3.38,0:03:54,0.00%,0,$0.00 
Shopping/Apparel/Men's Clothing,703,579,"1,148",17.94%,3.24,0:03:04,0.00%,0,$0.00 
Pets & Animals/Animal Products & Services/Pet Food & Pet Care Supplies,702,539,"1,264",19.38%,3.31,0:03:50,0.00%,0,$0.00 
Home & Garden/Kitchen & Dining/Major Kitchen Appliances/Refrigerators & Freezers,699,530,"1,279",17.98%,4.06,0:04:23,0.00%,0,$0.00 
Internet & Telecom/Web Services/Web Stats & Analytics,698,562,"1,143",20.91%,5.06,0:05:00,0.00%,0,$0.00 
Science/Engineering & Technology/Robotics,698,526,"1,211",22.30%,2.91,0:02:49,0.00%,0,$0.00 
Computers & Electronics/Electronics & Electrical,697,453,"1,504",16.29%,3.67,0:05:32,0.00%,0,$0.00 
"Home & Garden/Home Swimming Pools, Saunas & Spas",693,558,"1,132",14.75%,3.69,0:03:57,0.00%,0,$0.00 
Computers & Electronics/Enterprise Technology/Enterprise Resource Planning (ERP),690,509,"1,556",19.22%,4.17,0:04:33,0.00%,0,$0.00 
Arts & Entertainment/Visual Art & Design/Photographic & Digital Arts,688,523,"1,316",21.58%,3.3,0:04:29,0.00%,0,$0.00 
Sports/Sporting Goods/Golf Equipment,682,527,"1,288",14.75%,3.92,0:05:15,0.00%,0,$0.00 
Law & Government/Legal,678,527,"1,042",16.99%,3.42,0:03:50,0.00%,0,$0.00 
Sports/Combat Sports/Boxing,676,552,"1,358",26.22%,3.1,0:03:23,0.00%,0,$0.00 
Home & Garden/Home Appliances,672,483,"1,202",18.22%,3.34,0:04:11,0.00%,0,$0.00 
Computers & Electronics/Software/Business & Productivity Software/Calendar & Scheduling Software,671,544,967,16.44%,3.5,0:03:14,0.00%,0,$0.00 
Computers & Electronics/Software/Business & Productivity Software/Project Management Software,665,538,"1,062",18.93%,3.45,0:03:40,0.00%,0,$0.00 
Reference/Humanities/History/Military History,661,504,"1,031",12.61%,4.04,0:04:37,0.00%,0,$0.00 
Science/Biological Sciences/Flora & Fauna/Insects & Entomology,659,494,"1,230",16.99%,3.39,0:03:34,0.00%,0,$0.00 
Food & Drink/Food/Meat & Seafood/Poultry,658,531,"1,131",14.77%,3.68,0:06:27,0.00%,0,$0.00 
Business & Industrial/Business Operations/Human Resources/Payroll Services,656,560,"1,138",18.80%,3.59,0:03:35,0.00%,0,$0.00 
Law & Government/Military/Army,655,481,"1,799",24.29%,3.5,0:07:29,0.00%,0,$0.00 
Business & Industrial/Chemicals Industry,654,433,"1,319",16.00%,3.51,0:04:00,0.00%,0,$0.00 
Internet & Telecom/Web Services/Search Engine Optimization & Marketing,652,492,"1,570",22.04%,5.49,0:07:09,0.00%,0,$0.00 
Reference/Language Resources/Foreign Language Resources,652,518,"2,459",13.62%,4.43,0:05:03,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/World Music/South Asian Music,650,558,"1,602",26.78%,3.2,0:04:12,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Drones & RC Aircraft,650,566,"1,041",15.08%,3.41,0:03:31,0.00%,0,$0.00 
Jobs & Education/Education/Teaching & Classroom Resources,650,548,951,21.56%,4.84,0:04:09,0.00%,0,$0.00 
Hobbies & Leisure/Outdoors/Hunting & Shooting,648,526,973,15.42%,3.27,0:02:31,0.00%,0,$0.00 
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas/TV Crime & Legal Shows,646,526,"1,078",19.39%,4.13,0:04:30,0.00%,0,$0.00 
Shopping/Consumer Resources/Customer Services/Technical Support & Repair,646,484,"1,213",18.71%,3.93,0:04:21,0.00%,0,$0.00 
Online Communities/File Sharing & Hosting,639,531,"1,037",23.05%,3.45,0:03:25,0.00%,0,$0.00 
Sports/Individual Sports/Cycling,639,511,"1,062",16.20%,3.47,0:02:52,0.00%,0,$0.00 
Books & Literature/E-Books,631,504,"1,194",22.36%,3.59,0:03:34,0.00%,0,$0.00 
People & Society/Social Sciences/Psychology,631,502,"1,014",18.74%,4,0:04:53,0.00%,0,$0.00 
Autos & Vehicles/Motor Vehicles (By Brand)/Mercedes-Benz,629,506,"1,196",17.56%,3.86,0:04:27,0.00%,0,$0.00 
Arts & Entertainment/TV & Video/TV Shows & Programs/TV Dramas/TV Soap Operas,628,519,"1,477",15.84%,3.19,0:02:45,0.00%,0,$0.00 
Online Communities/Dating & Personals/Personals,628,566,904,18.14%,3.48,0:03:28,0.00%,0,$0.00 
Online Communities,626,523,"1,524",17.91%,4.73,0:07:18,0.00%,0,$0.00 
Computers & Electronics/Software/Multimedia Software/Photo & Video Software,617,500,"1,046",18.36%,3.53,0:03:45,0.00%,0,$0.00 
Food & Drink/Cooking & Recipes/Soups & Stews,616,497,874,15.22%,3.61,0:03:36,0.00%,0,$0.00 
Arts & Entertainment/Movies/Action & Adventure Films,615,464,"1,152",21.09%,3.74,0:03:48,0.00%,0,$0.00 
Business & Industrial/Advertising & Marketing,611,492,"1,117",24.17%,4.15,0:03:52,0.00%,0,$0.00 
Travel/Travel Guides & Travelogues,607,484,"1,028",18.39%,3.46,0:04:00,0.00%,0,$0.00 
"Computers & Electronics/Computer Hardware/Computer Peripherals/Printers, Copiers & Fax Machines/3D Printers & Scanners",603,458,"1,027",13.73%,3.62,0:03:59,0.00%,0,$0.00 
Home & Garden/Bed & Bath/Bedroom/Beds & Headboards,603,513,"1,225",25.96%,3.42,0:05:39,0.00%,0,$0.00 
Food & Drink/Food/Meat & Seafood/Beef,600,505,887,16.57%,3.16,0:02:52,0.00%,0,$0.00 
Business & Industrial/Small Business,599,510,952,18.80%,3.05,0:02:50,0.00%,0,$0.00 
Beauty & Fitness/Body Art,598,470,"1,112",21.04%,3.14,0:03:29,0.00%,0,$0.00 
Food & Drink/Food/Candy & Sweets,596,455,"1,076",18.40%,3.76,0:04:35,0.00%,0,$0.00 
Hobbies & Leisure/Crafts,596,478,"1,007",18.67%,3.32,0:03:56,0.00%,0,$0.00 
Business & Industrial/Industrial Materials & Equipment/Generators,591,433,"1,161",18.52%,3.27,0:04:16,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware/Computer Drives & Storage/Flash Drives & Memory Cards,590,458,"1,087",19.23%,3.04,0:03:03,0.00%,0,$0.00 
Shopping/Apparel/Women's Clothing/Dresses,588,474,"1,065",20.94%,3.76,0:03:56,0.00%,0,$0.00 
Computers & Electronics/Software/Business & Productivity Software/Accounting & Financial Software,577,494,853,17.94%,3.17,0:03:13,0.00%,0,$0.00 
Business & Industrial/Retail Trade/Retail Equipment & Technology,575,466,997,21.97%,3.44,0:03:07,0.00%,0,$0.00 
Business & Industrial/Business Operations/Human Resources,574,450,877,17.56%,3.44,0:03:50,0.00%,0,$0.00 
People & Society/Family & Relationships/Family/Ancestry & Genealogy,574,438,870,16.09%,3.43,0:03:18,0.00%,0,$0.00 
Shopping/Consumer Resources/Product Reviews & Price Comparisons,574,455,888,15.54%,3.43,0:03:48,0.00%,0,$0.00 
Home & Garden/Home Improvement/Plumbing,570,429,"1,138",19.60%,3.67,0:07:05,0.00%,0,$0.00 
Computers & Electronics/Computer Hardware/Computer Servers,569,418,"1,183",19.86%,3.48,0:04:07,0.00%,0,$0.00 
Finance/Credit & Lending/Credit Reporting & Monitoring,558,454,900,22.78%,3.34,0:03:25,0.00%,0,$0.00 
Arts & Entertainment/Music & Audio/Jazz & Blues/Jazz,554,436,"1,071",15.50%,3.21,0:03:04,0.00%,0,$0.00 
Shopping/Apparel/Outerwear,553,448,938,21.11%,3.38,0:04:31,0.00%,0,$0.00 
Home & Garden/Bed & Bath/Bedroom/Mattresses,552,459,853,18.41%,3.31,0:02:52,0.00%,0,$0.00 
Games/Computer & Video Games/Strategy Games,548,459,"1,059",24.17%,3.22,0:03:42,0.00%,0,$0.00 
Home & Garden/Home Improvement/Locks & Locksmiths,547,427,890,15.51%,3.53,0:03:19,0.00%,0,$0.00 
Autos & Vehicles/Vehicle Parts & Services/Gas Prices & Vehicle Fueling,544,421,"1,091",14.12%,3.73,0:03:43,0.00%,0,$0.00 
Internet & Telecom/Mobile & Wireless/Mobile Phones,544,411,907,22.05%,3.15,0:05:34,0.00%,0,$0.00 
Law & Government/Military/Veterans,543,424,929,22.93%,3.32,0:03:42,0.00%,0,$0.00 
Computers & Electronics/Software/Device Drivers,538,412,891,18.41%,3.43,0:03:00,0.00%,0,$0.00 
Computers & Electronics/Consumer Electronics/Media Streaming Devices,534,433,883,17.10%,3.62,0:04:15,0.00%,0,$0.00 
